No.,Entidad federativa,Lugar de observacion,Periodo,Autorizaciones observacion,No. viajes observacion,Personas realizan viajes observacion,Ingresos generados observacion pesos,Empleos generados
1,Baja California,Bahia de los Angeles,2012,18,133,643,45600,36
2,Baja California,Bahia de los Angeles,2013,22,235,1868,92490,44
3,Baja California,Bahia de los Angeles,2014,26,177,756,284740,52
4,Baja California,Bahia de los Angeles,2015,28,206,919,437480,56
5,Baja California,Bahia de los Angeles,2016,31,190,1566,595080,62
6,Baja California,Bahia de los Angeles,2017,28,294,2945,1119100,56
7,Baja California,Bahia de los Angeles,2018,29,100,1512,660510,58
8,Baja California,Bahia de los Angeles,2019,27,93,1407,614957,54
9,Baja California,Bahia de los Angeles,2020,0,0,0,0,0
10,Baja California,Bahia de los Angeles,2021,35,,,,70
11,Baja California Sur,Bahia de la Paz,2012,102,2236,11755,1792990,204
12,Baja California Sur,Bahia de la Paz,2013,109,3428,15073,7088485,218
13,Baja California Sur,Bahia de la Paz,2014,82,1314,10404,4188840,164
14,Baja California Sur,Bahia de la Paz,2015,83,1584,12404,5188302,166
15,Baja California Sur,Bahia de la Paz,2016,89,5023,24209,17615144,178
16,Baja California Sur,Bahia de la Paz,2017,93,8477,54459,35780257,186
17,Baja California Sur,Bahia de la Paz,2018,87,5902,41095,34804600,261
18,Baja California Sur,Bahia de la Paz,2019,102,6916,48180,40805393,204
19,Baja California Sur,Bahia de la Paz,2020,101,6848,47707,40405340,202
20,Baja California Sur,Bahia de la Paz,2021,107,,,,214
21,Nayarit,Costa de Nayarit,2012,21,6,1513,106900,42
22,Nayarit,Costa de Nayarit,2013,18,104,1000,335400,36
23,Nayarit,Costa de Nayarit,2014,22,34,507,164100,44
24,Nayarit,Costa de Nayarit,2015,15,145,1016,324800,30
25,Nayarit,Costa de Nayarit,2016,19,121,727,399700,40
26,Nayarit,Costa de Nayarit,2017,15,96,573,237522,30
27,Nayarit,Costa de Nayarit,2018,7,53,277,110845,14
28,Nayarit,Costa de Nayarit,2019,7,49,258,100500,14
29,Nayarit,Costa de Nayarit,2020,0,0,0,0,0
30,Nayarit,Costa de Nayarit,2021,0,,,,0
31,Quintana Roo,Caribe Mexicano,2012,243,7493,61493,16792172,486
32,Quintana Roo,Caribe Mexicano,2013,243,8138,64961,44174280,486
33,Quintana Roo,Caribe Mexicano,2014,243,9210,77557,59202400,486
34,Quintana Roo,Caribe Mexicano,2015,301,5704,47248,38304048,602
35,Quintana Roo,Caribe Mexicano,2016,294,8803,70793,64220357,588
36,Quintana Roo,Caribe Mexicano,2017,212,3906,34063,24310770,424
37,Quintana Roo,Caribe Mexicano,2018,105,10671,83041,78217680,315
38,Quintana Roo,Caribe Mexicano,2019,119,11310,86995,81942331,220
39,Quintana Roo,Caribe Mexicano,2020,0,0,0,0,0
40,Quintana Roo,Caribe Mexicano,2021,108,,,,216
41,Total,Total,2012,384,9868,75404,18737662,768
42,Total,Total,2013,392,11905,82902,51690655,784
43,Total,Total,2014,373,10735,89224,63840080,746
44,Total,Total,2015,427,7639,61587,44254630,854
45,Total,Total,2016,433,14137,97295,82830281,868
46,Total,Total,2017,348,12773,92040,61447649,696
47,Total,Total,2018,228,16726,125925,113793635,648
48,Total,Total,2019,246,18368,136840,123463181,492
49,Total,Total,2020,101,6848,47707,40405340,202
50,Total,Total,2021,250,,,,500
